Data,Abertura,Máxima,Mínima,Fechamento,Contador de Candles
31/10/2025 18:20,152205,152240,152155,152225,113
31/10/2025 18:15,152185,152230,152160,152205,112
31/10/2025 18:10,152145,152200,152140,152190,111
31/10/2025 18:05,152155,152245,152140,152150,110
31/10/2025 18:00,152165,152175,152140,152155,109
31/10/2025 17:55,152140,152190,152115,152165,108
31/10/2025 17:50,152100,152185,152095,152140,107
31/10/2025 17:45,152075,152120,152055,152100,106
31/10/2025 17:40,152055,152085,152050,152075,105
31/10/2025 17:35,152045,152100,152040,152055,104
31/10/2025 17:30,152050,152060,152035,152045,103
31/10/2025 17:25,152060,152070,152025,152055,102


